# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time
8.100000000000000000e+01	1.521295673752941582e+02	1.062671753754605763e+00	3.285340853006063889e-06	9.543859837584946562e-08	8.115655653489597995e-08
8.200000000000000000e+01	1.544079912749111827e+02	1.078587244496977071e+00	3.431362707785987933e-06	1.013498620191025980e-07	8.737331142657143110e-08
8.300000000000000000e+01	1.566867482533346845e+02	1.094505061897114384e+00	3.695464062227894528e-06	1.080950583779594830e-07	9.443514511510969450e-08
8.400000000000000000e+01	1.589653309426065277e+02	1.110421661833995932e+00	3.886592456058381678e-06	1.147594100478350546e-07	9.972035686266103922e-08
8.500000000000000000e+01	1.612441812459551045e+02	1.126340131137399281e+00	4.129147950122151966e-06	1.208822695908807142e-07	1.061370718258190986e-07
8.600000000000000000e+01	1.635230261014666269e+02	1.142258562385987331e+00	4.370068508932167802e-06	1.281381053630126085e-07	1.139428188691294741e-07
8.700000000000000000e+01	1.658016161584575912e+02	1.158175213788649849e+00	4.561074870195860218e-06	1.350524837601515758e-07	1.232080143090159611e-07
8.800000000000000000e+01	1.680804123602803486e+02	1.174093305176278301e+00	4.951758438493460189e-06	1.443890962679301673e-07	1.348977306164043992e-07
8.900000000000000000e+01	1.703594180859973619e+02	1.190012860152662055e+00	5.130234295361172331e-06	1.528029540617091432e-07	1.458811567645795222e-07
9.000000000000000000e+01	1.726384872344971768e+02	1.205932858156663734e+00	5.448880390107712790e-06	1.601246671354994065e-07	1.572794283621832737e-07
9.100000000000000000e+01	1.749172105994928756e+02	1.221850440756683920e+00	5.661082144778203389e-06	1.663513452027468511e-07	1.685392189609127365e-07
9.200000000000000000e+01	1.771957601149626385e+02	1.237766808964368748e+00	6.107248082582925832e-06	1.728566496262303255e-07	1.841616871771654984e-07
9.300000000000000000e+01	1.794743834633857489e+02	1.253683692917909820e+00	6.241062103033953859e-06	1.799325921374089434e-07	2.095225015811684222e-07
9.400000000000000000e+01	1.817529506189925428e+02	1.269600184347369654e+00	6.535357096739877712e-06	1.852326545065182551e-07	2.338015107068677755e-07
9.500000000000000000e+01	1.840314885628717150e+02	1.285516471723940013e+00	6.839428962479696708e-06	1.875081286316744515e-07	2.493952893679492134e-07
9.600000000000000000e+01	1.863100368346915729e+02	1.301432831244347943e+00	7.169019875004654960e-06	1.871157265782850680e-07	2.519482021252660271e-07
9.700000000000000000e+01	1.885888293817724843e+02	1.317350897102482321e+00	7.524915891252140416e-06	1.914916056229510973e-07	2.683115943075985428e-07
9.800000000000000000e+01	1.908677353277467148e+02	1.333269755086716080e+00	7.815137994042362985e-06	1.985315698876474017e-07	2.731236742427352770e-07
9.900000000000000000e+01	1.931461650137014203e+02	1.349185286248433258e+00	8.330382651147148854e-06	2.072193927268695348e-07	3.061936126370668113e-07
1.000000000000000000e+02	1.954251044508978055e+02	1.365104378179140321e+00	8.495746707864197173e-06	2.111177059223994906e-07	3.569590043829515115e-07
1.010000000000000000e+02	1.977038188690282539e+02	1.381021898282558613e+00	8.836120432183478757e-06	2.207499824274610025e-07	3.494341609435641328e-07
1.020000000000000000e+02	1.999825998342446951e+02	1.396939883237812374e+00	9.292513545977417445e-06	2.274703963906926948e-07	3.714554430058972077e-07
1.030000000000000000e+02	2.022610438685033785e+02	1.412855514626839781e+00	9.678440691612164118e-06	2.325501423733966475e-07	3.888034890289475540e-07
